fg,fa,fv,tg,ta,tv
com.google.guava,guava,27.0-jre,com.google.guava,guava-parent,27.0-jre
com.google.guava,guava-parent,27.0-jre,org.sonatype.oss,oss-parent,9
com.google.guava,guava,27.0.1-android,com.google.guava,guava-parent,27.0.1-android
com.google.guava,guava-parent,27.0.1-android,org.sonatype.oss,oss-parent,9
com.google.guava,failureaccess,1.0.1,com.google.guava,guava-parent,26.0-android
com.google.guava,guava,27.0.1-jre,com.google.guava,guava-parent,27.0.1-jre
com.google.guava,guava-parent,27.0.1-jre,org.sonatype.oss,oss-parent,9
com.google.guava,guava,27.1-android,com.google.guava,guava-parent,27.1-android
com.google.guava,guava-parent,27.1-android,org.sonatype.oss,oss-parent,9
com.google.guava,guava,27.1-jre,com.google.guava,guava-parent,27.1-jre
com.google.guava,guava-parent,27.1-jre,org.sonatype.oss,oss-parent,9
com.google.guava,guava,28.0-android,com.google.guava,guava-parent,28.0-android
com.google.errorprone,error_prone_annotations,2.3.2,com.google.errorprone,error_prone_parent,2.3.2
com.google.errorprone,error_prone_parent,2.3.2,org.sonatype.oss,oss-parent,7
com.google.j2objc,j2objc-annotations,1.3,org.sonatype.oss,oss-parent,7
com.google.guava,guava,28.0-jre,com.google.guava,guava-parent,28.0-jre
com.google.guava,guava,28.1-android,com.google.guava,guava-parent,28.1-android
org.codehaus.mojo,animal-sniffer-annotations,1.18,org.codehaus.mojo,animal-sniffer-parent,1.18
org.codehaus.mojo,animal-sniffer-parent,1.18,org.codehaus.mojo,mojo-parent,50
com.google.guava,guava,28.1-jre,com.google.guava,guava-parent,28.1-jre
com.google.guava,guava,28.2-android,com.google.guava,guava-parent,28.2-android
com.google.errorprone,error_prone_annotations,2.3.4,com.google.errorprone,error_prone_parent,2.3.4
com.google.errorprone,error_prone_parent,2.3.4,org.sonatype.oss,oss-parent,7
com.google.guava,guava,28.2-jre,com.google.guava,guava-parent,28.2-jre
com.google.guava,guava,29.0-android,com.google.guava,guava-parent,29.0-android
com.google.guava,guava,29.0-jre,com.google.guava,guava-parent,29.0-jre
com.google.guava,guava,30.0-android,com.google.guava,guava-parent,30.0-android
com.google.guava,guava,30.0-jre,com.google.guava,guava-parent,30.0-jre
com.google.guava,guava,30.1-android,com.google.guava,guava-parent,30.1-android
com.google.guava,guava,30.1-jre,com.google.guava,guava-parent,30.1-jre
com.google.guava,guava,30.1.1-android,com.google.guava,guava-parent,30.1.1-android
com.google.errorprone,error_prone_annotations,2.5.1,com.google.errorprone,error_prone_parent,2.5.1
com.google.errorprone,error_prone_parent,2.5.1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,30.1.1-jre,com.google.guava,guava-parent,30.1.1-jre
com.google.guava,guava,31.0-android,com.google.guava,guava-parent,31.0-android
com.google.errorprone,error_prone_annotations,2.7.1,com.google.errorprone,error_prone_parent,2.7.1
com.google.errorprone,error_prone_parent,2.7.1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,31.0-jre,com.google.guava,guava-parent,31.0-jre
com.google.guava,guava,31.0.1-android,com.google.guava,guava-parent,31.0.1-android
com.google.guava,guava,31.0.1-jre,com.google.guava,guava-parent,31.0.1-jre
com.google.guava,guava,31.1-android,com.google.guava,guava-parent,31.1-android
com.google.errorprone,error_prone_annotations,2.11.0,com.google.errorprone,error_prone_parent,2.11.0
com.google.guava,guava,31.1-jre,com.google.guava,guava-parent,31.1-jre
com.google.guava,guava,32.0.0-android,com.google.guava,guava-parent,32.0.0-android
com.google.errorprone,error_prone_annotations,2.18.0,com.google.errorprone,error_prone_parent,2.18.0
com.google.j2objc,j2objc-annotations,2.8,org.sonatype.oss,oss-parent,9
com.google.guava,guava,32.0.0-jre,com.google.guava,guava-parent,32.0.0-jre
com.google.guava,guava,32.0.1-android,com.google.guava,guava-parent,32.0.1-android
com.google.guava,guava,32.0.1-jre,com.google.guava,guava-parent,32.0.1-jre
com.google.guava,guava,32.1.0-android,com.google.guava,guava-parent,32.1.0-android
com.google.guava,guava,32.1.0-jre,com.google.guava,guava-parent,32.1.0-jre
com.google.guava,guava,32.1.1-android,com.google.guava,guava-parent,32.1.1-android
com.google.guava,guava,32.1.1-jre,com.google.guava,guava-parent,32.1.1-jre
com.google.guava,guava,32.1.2-android,com.google.guava,guava-parent,32.1.2-android
com.google.guava,guava,32.1.2-jre,com.google.guava,guava-parent,32.1.2-jre
com.google.guava,guava,32.1.3-android,com.google.guava,guava-parent,32.1.3-android
com.google.errorprone,error_prone_annotations,2.21.1,com.google.errorprone,error_prone_parent,2.21.1
com.google.guava,guava,32.1.3-jre,com.google.guava,guava-parent,32.1.3-jre
${parent.groupId},guava,${parent.version},com.google.guava,guava-parent,r03
com.google.guava,guava-parent,r03,com.google,google,5
com.google.guava,guava,r05,com.google,google,5
com.google.guava,guava,r06,com.google,google,5
com.google.guava,guava,r07,com.google,google,5
com.google.guava,guava,r08,com.google,google,5
com.google.guava,guava,r09,com.google,google,5
org.easymock,easymockclassextension,3.0,org.easymock,easymock-parent,3.0
org.easymock,easymock,3.0,org.easymock,easymock-parent,3.0
org.objenesis,objenesis,1.2,org.objenesis,objenesis-parent,1.2
org.jmock,jmock-legacy,2.5.1,org.jmock,jmock-parent,2.5.1
org.jmock,jmock,2.5.1,org.jmock,jmock-parent,2.5.1
org.hamcrest,hamcrest-library,1.1,org.hamcrest,hamcrest-parent,1.1
ant,ant,1.6.5,org.apache,apache,4
xml-apis,xml-apis,1.3.04,org.apache,apache,3
org.beanshell,bsh,2.0b4,org.beanshell,beanshell,2.0b4
asm,asm,3.0,asm,asm-parent,3.0
asm,asm-tree,3.0,asm,asm-parent,3.0
org.apache.ant,ant,1.7.0,org.apache.ant,ant-parent,1.7.0
org.apache.ant,ant-launcher,1.7.0,org.apache.ant,ant-parent,1.7.0
xerces,xercesImpl,2.8.1,org.apache,apache,3
xml-apis,xml-apis,1.3.03,org.apache,apache,1
org.objenesis,objenesis,1.1,org.objenesis,objenesis-parent,1.1
com.thoughtworks.paranamer,paranamer,2.3,com.thoughtworks.paranamer,paranamer-parent,2.3
com.thoughtworks.paranamer,paranamer-parent,2.3,org.codehaus,codehaus-parent,1
org.jmock,jmock-junit4,2.5.1,org.jmock,jmock-parent,2.5.1
org.scala-lang,scala-library,2.6.1,org.scala-lang,scala-parent,2.6.1
org.scala-lang,scala-library,2.6.1-rc1,org.scala-lang,scala-parent,2.6.1-rc1
org.scala-lang,scala-library,2.6.1-rc2,org.scala-lang,scala-parent,2.6.1-rc2
org.scala-lang,scala-library,2.7.0,org.scala-lang,scala-parent,2.7.0
org.scala-lang,scala-library,2.7.0-rc1,org.scala-lang,scala-parent,2.7.0-rc1
org.scala-lang,scala-library,2.7.0-rc2,org.scala-lang,scala-parent,2.7.0-rc2
org.scala-lang,scala-library,2.7.0-rc3,org.scala-lang,scala-parent,2.7.0-rc3
org.scala-lang,scala-library,2.7.1,org.scala-lang,scala-parent,2.7.1
org.scala-lang,scala-library,2.7.1-rc1,org.scala-lang,scala-parent,2.7.1-rc1
org.scala-lang,scala-library,2.7.1-rc2,org.scala-lang,scala-parent,2.7.1-rc2
org.scala-lang,scala-library,2.7.2-rc1,org.scala-lang,scala-parent,2.7.2-rc1
org.scala-lang,scala-library,2.7.2-rc2,org.scala-lang,scala-parent,2.7.2-rc2
org.scala-lang,scala-library,2.7.2-rc3,org.scala-lang,scala-parent,2.7.2-rc3
